project;version;from;to;days;commits;commitsPerDay;accumulated_commits;committers;committers_weigth;changes;additions;deletions;changed_files;bugs;code_smells;cognitive_complexity;critical_violations;complexity;duplicated_blocks;duplicated_files;duplicated_lines;duplicated_lines_density;info_violations;violations;major_violations;minor_violations;open_issues;statements;;
monica;2.10.1;2018-11-11T20:59:05+0100;2018-11-13T15:56:32+0100;2;3;1.5;723;1;1.0;29;21;8;5;49;228;1688;9;3029;29;14;595;0.8;101;284;115;59;279;8742;;
monica;2.10.0;2018-10-14T17:37:43+0200;2018-11-11T20:59:05+0100;29;73;25.173;720;18;0.0197;29020;20158;8862;458;49;228;1688;9;3029;29;14;595;0.8;101;284;115;59;279;8742;;
monica;2.9.0;2018-10-09T03:02:39+0200;2018-10-14T17:37:43+0200;6;17;28.334;647;4;0.1433;1397;762;635;89;55;274;1557;9;2733;51;12;569;0.8;149;333;105;70;326;8047;;
monica;2.8.1;2018-09-29T04:02:57+0200;2018-10-09T03:02:39+0200;10;17;1.7;630;3;0.233;1767;1266;501;42;55;274;1554;9;2733;51;12;575;0.8;149;333;105;70;326;8032;;
monica;2.8.0;2018-09-06T05:03:13+0200;2018-09-29T04:02:57+0200;23;40;17.392;613;7;0.047;14583;11732;2851;366;55;274;1548;9;2722;51;12;575;0.8;149;333;105;70;326;7968;;
monica;2.7.1;2018-09-05T04:20:29+0200;2018-09-06T05:03:13+0200;2;2;1.0;573;1;1.0;46;45;1;3;0;198;1498;8;2580;51;12;575;0.9;149;201;28;16;194;7623;;
monica;2.7.0;2018-08-18T00:06:01+0200;2018-09-05T04:20:29+0200;19;40;21.053;571;4;0.0781;8805;7457;1348;307;0;198;1498;8;2580;51;12;575;0.9;149;201;28;16;194;7623;;
monica;2.6.0;2018-08-09T02:52:03+0200;2018-08-18T00:06:01+0200;9;30;33.334;531;5;0.0711;7018;5760;1258;230;0;215;1352;169;2453;49;11;523;0.9;4;218;28;17;211;7180;;
monica;2.5.0;2018-07-26T19:24:04+0200;2018-08-09T02:52:03+0200;14;29;20.715;501;6;0.0743;2251;1749;502;121;0;215;1313;169;2390;49;11;520;0.9;4;218;28;17;211;6983;;
monica;2.4.2;2018-07-24T15:22:07+0200;2018-07-26T19:24:04+0200;3;14;46.667;472;4;0.1681;538;387;151;28;0;215;1302;166;2344;49;11;520;1.0;4;215;28;17;208;6862;;
